,auroc,aupr
b'10_1',0.8269762012200751,0.08509781153322538
b'11_1',0.9145366828850467,0.09100223351686243
b'11_2',0.9360265003939219,0.10915420144246965
b'11_3',0.9124004391630632,0.08805942348904125
b'11_4',0.9050525013635555,0.08274879476125005
b'11_5',0.9189142584241432,0.09954141951012968
b'12_1',0.8896894051690276,0.07493403031498437
b'12_2',0.8755882496800576,0.0642986740628989
b'12_3',0.8836878883999506,0.09494640836953962
b'12_4',0.9818022782551293,0.3767005515483357
b'12_5',0.9985759578025118,0.8240252655282967
b'13_1',0.7785154183301127,0.04414611075375007
b'14_1',0.854751117928461,0.08927151727181677
b'14_2',0.8625002809259967,0.19128709925194717
b'14_3',0.904868702594436,0.20806612363855603
b'15_1',0.9173653690475431,0.16558715390933332
b'15_2',0.8525939015324909,0.057911494960433796
b'15_3',0.8466486511173746,0.05475128681991833
b'16_1',0.9904199304875704,0.6027497948401731
b'16_2',0.8551856483928663,0.05886899818629536
b'16_3',0.8161577428448477,0.04892834403450556
b'17_1',0.8902462768770648,0.07690031153360588
b'17_2',0.8631921668900956,0.06259805629593534
b'17_3',0.8876314681139857,0.06549345046761182
b'17_4',0.9777669799224016,0.47337719244964127
b'17_5',0.8808338076167024,0.06309795022245265
b'18_1',0.8362515890147857,0.05429095141389842
b'18_2',0.8816907852201672,0.07510309978469513
b'18_3',0.8870545026349405,0.10217663761048514
b'18_4',0.8627572528585866,0.06910749234275995
b'18_5',0.873920253927055,0.15882092295519046
b'19_1',0.8603445818546075,0.06309157062280304
b'19_2',0.864661282004653,0.07346584508455656
b'19_3',0.9398440560583841,0.1999305655161506
b'19_4',0.93151787043061,0.28624856213163036
b'1_1',0.7408802091473576,0.039930155327134134
b'1_2',0.8357491900158028,0.08267830108009329
b'1_3',0.9435182693912202,0.24806448973510703
b'20_1',0.8210092663754343,0.049763859133147764
b'21_1',0.8660689743898912,0.10177171102367491
b'21_2',0.9092230592547204,0.16559315854757298
b'22_1',0.9076551255384057,0.14355245009777465
b'22_2',0.8501506865715416,0.07055998729175902
b'22_3',0.9720412978226673,0.4221369752959686
b'22_4',0.9844009121152664,0.486989042706205
b'23_1',0.8407241050634566,0.05449218278119292
b'23_2',0.9755810752028778,0.4840981634792224
b'24_1',0.8539639491255206,0.06522743960866671
b'24_2',0.8550924427451858,0.06228648862825944
b'25_1',0.8251995675435261,0.045745108350003304
b'25_2',0.9149236210936498,0.22524643356651966
b'25_3',0.9885644989062248,0.6111790691700847
b'26_1',0.8812765164346487,0.07053489733301442
b'26_2',0.9070671817342194,0.15338622952547934
b'26_3',0.995186696653964,0.5892763171750028
b'27_1',0.846786928268545,0.07514556595707107
b'27_2',0.964280003789109,0.2531471469187166
b'27_3',0.9523782768424975,0.19390959787692777
b'28_1',0.9857156800088397,0.44690479323982557
b'28_2',0.985591651638478,0.4902375504465943
b'29_1',0.9057456943430165,0.08324605709439546
b'2_1',0.8409611910067518,0.05624759694550821
b'30_1',0.9908289301815837,0.6160682784866058
b'30_2',0.9982524186635955,0.8086669669369249
b'30_3',0.996109387945746,0.6290158048108232
b'30_4',0.9988149053150649,0.8591549341651609
b'3_1',0.8298235062126156,0.054016572692672696
b'4_1',0.8904270411463573,0.07522590319050423
b'4_2',0.9001255069145956,0.08963455937290223
b'4_3',0.8916754955089036,0.08139280009884367
b'4_4',0.9383565725258765,0.15854805858089266
b'5_1',0.8989584156614023,0.07838866845664408
b'5_2',0.9162567870465733,0.0883839822135491
b'5_3',0.8967256382038188,0.07766225699792277
b'5_4',0.8988043923275792,0.07158565150278469
b'5_5',0.8322827896254791,0.04738720219620969
b'5_6',0.8540295933161344,0.05990024351338655
b'6_1',0.8011824607670283,0.04797210453354857
b'7_1',0.7745988951110606,0.03584958178813196
b'7_2',0.9592673175396927,0.23710951747112163
b'8_1',0.8877874035482692,0.08913606224518422
b'8_2',0.891715405989103,0.09907713669240745
b'9_1',0.8935350554212937,0.13509974670739186
b'9_2',0.8461073418318757,0.0566829786180449
b'9_3',0.8943036463616513,0.19849479353939703
